state,Total_Citizen_State,Total_Bumi,Total_Chinese,Total_Indian,Total_Other,Bumi_Proportion,Chinese_Proportion,Indian_Proportion,Other_Proportion,labour_participation_rate_avg,labour_unemployment_rate_avg,income_median_avg,poverty_incidence_avg,utilities_pipedwater_home_avg,utilities_electricity_home_avg
Perlis,278455,24725500,2048000,512400,559600,88.79531701711228,7.354868829792965,1.8401537052665602,2.0096604478281948,63.0,4.266666666666667,4519.333333333333,3.766666666666667,99.63333333333333,100.0
Kedah,2038080,163275600,25060000,12905500,2566900,80.11245878473858,12.295886324383734,6.332185193907992,1.259469696969697,63.29333333333333,4.22,4309.4,8.54,99.12666666666668,100.0
Kelantan,1757199,169683100,4467600,470500,1098700,96.56453253160285,2.54245535081684,0.26775567252200805,0.6252564450583001,57.878571428571426,4.214285714285714,3566.0714285714284,12.821428571428571,68.65714285714286,100.0
Terengganu,1123038,109557900,2316600,210000,219300,97.55493580804924,2.062797518872914,0.18699278207861175,0.195273890999236,59.2375,4.1625,5462.375,6.375,95.95,100.0
Pulau Pinang,1599874,71589900,71836200,15549200,1012100,44.74721134289325,44.901160966426104,9.719015372460582,0.6326123182200598,67.6076923076923,3.6076923076923078,6163.307692307692,2.1153846153846154,99.94615384615385,100.0
Perak,2364837,143965200,64362700,27080900,1074900,60.87743045292339,27.216548117269816,11.451486931234584,0.454534498572206,63.94583333333333,4.95,4163.25,8.283333333333333,99.45833333333333,99.99166666666667
Pahang,1513230,122646700,22171200,5585200,919900,81.04960911427872,14.651573125037173,3.6909128156327853,0.6079049450513141,65.20714285714286,3.192857142857143,4334.5,4.614285714285714,97.71428571428571,100.0
Selangor,6430435,389588000,175618100,72601700,5235700,60.585014855138105,27.31045411391298,11.290324838055279,0.8142061928936378,75.33181818181818,4.181818181818182,7662.681818181818,1.8636363636363635,100.0,100.0
Negeri Sembilan,1132229,71642100,24845600,16163300,571900,63.27527381828234,21.943970698507105,14.275645651188938,0.505109832021614,64.0125,3.8875,4603.75,4.9875,99.9,100.0
Melaka,927361,66463500,20523900,5235900,512800,71.66950087398543,22.131510814019567,5.646021344438681,0.5529669675563238,66.31666666666666,2.1999999999999997,5908.666666666667,3.983333333333333,100.0,100.0
Johor,3690503,221917400,120865200,24429500,1838200,60.132019944164796,32.75033240726264,6.619558363724403,0.49808928484816295,69.4576923076923,3.4846153846153842,5882.884615384615,4.6230769230769235,99.67692307692307,99.99615384615385
Sabah,2608342,231347100,24892000,596200,3998900,88.69507909622281,9.54322707681738,0.22857432039203449,1.5331195065677736,69.344,7.92,4104.4,21.72,81.948,99.568
Sarawak,2328397,176235900,55462200,508200,633400,75.68979860393223,23.819907000395553,0.21826174831869308,0.2720326473535226,67.13548387096773,4.519354838709678,3989.2903225806454,11.825806451612904,80.41612903225807,99.69999999999999
W.P. Kuala Lumpur,1773666,84633900,73716100,17809900,1206700,47.71693204921333,41.561432648536986,10.041293005560235,0.6803422966894557,72.26363636363637,3.9545454545454546,10627.818181818182,0.16363636363636364,100.0,100.0
W.P. Putrajaya,106381,10414400,67000,130300,26400,97.8971808875645,0.6298117144978896,1.2248427820757466,0.24816461586185504,72.5,1.5,9983.0,0.4,100.0,100.0
W.P. Labuan,84288,7267100,984300,89100,88300,86.21749240698557,11.677818906605923,1.0570899772209568,1.0475987091875474,64.6,7.2,6726.0,3.1,100.0,100.0
