state,parlimen,population_total,nationality_citizen,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,Total,Male,Female,Young,Old,Middle_Aged,Male Percentage,Female Percentage,Young Percentage,Old Percentage,Middle Aged Percentage,Bumiputera Percentage,Chinese Percentage,Indian Percentage,Other Percentage
Perlis,P.001 Padang Besar,86798,84074,89.80184124,5.640269287,1.648547708,2.90934177,62.9,4.1,4075,4747,3154,0.31,5.7,99.7,0.0,0.3,100.0,0.0,60192,30206,29986,16420,11454,32318,50,50,27,19,54,90,6,2,3
Perlis,P.002 Kangar,100755,98479,87.33029377,9.576661014,1.518090151,1.574955067,62.8,4.0,4889,5899,3694,0.35,4.2,99.4,0.5,0.1,100.0,0.0,74859,37087,37772,20782,14877,39200,50,50,28,20,52,87,10,2,2
Perlis,P.003 Arau,97332,95902,89.41732185,6.576505182,2.338845905,1.667327063,63.3,4.7,4594,5411,3381,0.31,1.4,99.8,0.2,0.0,100.0,0.0,60876,29730,31146,16001,12042,32833,49,51,26,20,54,89,7,2,2
Kedah,P.004 Langkawi,94138,90015,91.86024551,5.122479587,1.934122091,1.083152808,68.5,6.8,5905,6737,3334,0.28,0.9,99.5,0.0,0.5,100.0,0.0,66777,33947,32830,22657,8348,35772,51,49,34,13,54,92,5,2,1
Kedah,P.005 Jerlun,66086,65407,93.45941566,4.178451848,0.085617747,2.276514746,61.3,3.6,4106,4919,2768,0.29,6.7,99.0,0.0,1.0,100.0,0.0,67601,33310,34291,16938,13825,36838,49,51,25,20,54,93,4,0,2
Kedah,P.006 Kubang Pasu,171375,165147,88.56110011,7.38735793,2.939805143,1.111736816,61.7,4.0,5060,6673,4360,0.37,4.3,100.0,0.0,0.0,100.0,0.0,108217,53808,54409,34497,17963,55757,50,50,32,17,52,89,7,3,1
Kedah,P.007 Padang Terap,65986,62672,91.66453919,0.793017616,0.044677049,7.497766148,65.4,4.2,3722,4781,3419,0.31,9.1,100.0,0.0,0.0,100.0,0.0,59806,29307,30499,17042,9976,32788,49,51,28,17,55,92,1,0,7
Kedah,P.008 Pokok Sena,133057,128272,85.15264438,12.1827055,2.150898092,0.513752027,65.8,4.6,4443,5522,3564,0.33,6.8,100.0,0.0,0.0,100.0,0.0,114838,56869,57969,31039,22206,61593,50,50,27,19,54,85,12,2,1
Kedah,P.009 Alor Setar,119010,112474,68.52072479,28.1345022,3.000693494,0.344079521,61.9,5.5,4543,5540,4146,0.32,4.9,100.0,0.0,0.0,100.0,0.0,105994,51909,54085,25863,24439,55692,49,51,24,23,53,69,28,3,0
Kedah,P.010 Kuala Kedah,172099,167709,75.58628338,22.93257965,1.150206608,0.330930362,61.2,5.2,4405,5912,4183,0.38,7.3,100.0,0.0,0.0,100.0,0.0,132500,65056,67444,36476,24990,71034,49,51,28,19,54,76,23,1,0
