state,Total_Population,Total_Bumi,Total_Chinese,Total_Indian,Total_Other,Average_Labour_Participation,Average_Labour_Unemployement,Average_Median_Income,Average_Income,Average_expenditure,Average_Gini,Average_Poverty_Incidence,Average_Water_Access,Average_Electricity_Access,Total_Voters,Total_Male_Voters,Total_Female_Voters,Total_Young_Voters,Total_Old_Voters,Total_Middle_Aged_Voters,Average_Bumi,Average_Chinese,Average_Indian,Average_Other,Average_male,Average_female,Average_young,Average_middle_aged,Average_old,Others Percentage
Perlis,278455,247255,20480,5124,5596,63,4,4519,5352,3410,0,4,100,100,195927,97023,98904,53203,38373,104351,0.8879531701711229,0.07354868829792965,0.0184015370526656,0.02009660447828195,0.4951997427613346,0.5048002572386654,0.27154501421447785,0.5326014280829084,0.19585355770261373,2
Kedah,2038080,1632756,250600,129055,25669,63,4,4309,5408,3304,0,9,99,100,1575805,776392,799413,463978,276028,835799,0.8011245878473858,0.12295886324383734,0.06332185193907992,0.01259469696969697,0.4926954794533588,0.5073045205466412,0.29443871545019845,0.5303949409984103,0.17516634355139118,1
Kelantan,1757199,1696831,44676,4705,10987,58,4,3566,4793,3161,0,13,69,100,1404763,697176,707587,433389,212570,758804,0.9656453253160285,0.0254245535081684,0.0026775567252200804,0.006252564450583002,0.496294392719626,0.503705607280374,0.3085139628535205,0.5401651381763329,0.15132089897014656,1
Terengganu,1123038,1095579,23166,2100,2193,59,4,5462,6664,4274,0,6,96,100,922856,460663,462193,285388,124643,512825,0.9755493580804924,0.020627975188729143,0.0018699278207861176,0.00195273890999236,0.49917105160501746,0.5008289483949825,0.30924434581343135,0.5556934126234212,0.13506224156314744,0
Pulau Pinang,1599874,715899,718362,155492,10121,68,4,6163,7659,4541,0,2,100,100,1226626,598800,627826,299003,273452,654171,0.4474721134289325,0.44901160966426107,0.09719015372460581,0.006326123182200599,0.4881683577553386,0.5118316422446614,0.24376052684355295,0.5333092564481757,0.22293021670827132,1
Perak,2364837,1439652,643627,270809,10749,64,5,4163,5485,3444,0,8,99,100,2036872,1015816,1021056,516136,432654,1088082,0.608774304529234,0.2721654811726982,0.11451486931234583,0.00454534498572206,0.4987137139692627,0.5012862860307373,0.25339638425978656,0.5341926247697449,0.21241099097046845,0
Pahang,1513230,1226467,221712,55852,9199,65,3,4334,5384,3582,0,5,98,100,1136944,572397,564547,325680,188715,622549,0.8104960911427873,0.14651573125037173,0.03690912815632785,0.006079049450513141,0.5034522368735839,0.4965477631264161,0.286452103181863,0.5475634683854262,0.16598442843271086,1
Selangor,6430435,3895880,1756181,726017,52357,75,4,7663,9982,5421,0,2,100,100,3677848,1824683,1853165,1118720,598549,1960579,0.6058501485513811,0.2731045411391298,0.1129032483805528,0.008142061928936378,0.4961278987059824,0.5038721012940176,0.30417787793296513,0.5330777672160459,0.16274435485098895,1
Negeri Sembilan,1132229,716421,248456,161633,5719,64,4,4604,6189,4106,0,5,100,100,850865,423322,427543,232379,166538,451948,0.6327527381828234,0.21943970698507104,0.14275645651188937,0.00505109832021614,0.4975195830125813,0.5024804169874186,0.2731091301205244,0.531162992954229,0.19572787692524665,1
Melaka,927361,664635,205239,52359,5128,66,2,5909,7630,4932,0,4,100,100,657324,323961,333363,183080,126229,348015,0.7166950087398543,0.22131510814019567,0.056460213444386814,0.005529669675563238,0.49284827573616663,0.5071517242638334,0.27852322446769023,0.5294421016119905,0.19203467392031937,1
Johor,3690503,2219174,1208652,244295,18382,69,3,5883,7201,4377,0,5,100,100,2616575,1309094,1307481,736264,473538,1406773,0.6013201994416479,0.3275033240726264,0.06619558363724402,0.004980892848481629,0.5003082273582833,0.49969177264171677,0.28138463449356504,0.5376390892674584,0.18097627623897652,0
