state,parlimen,Total_Voters,Total_Undi_18,Total_Youth,Total_Senior_Citizen,Total_Early_Voter,ratio_undi_18,ratio_youth,ratio_senior_citizen,ratio_early_voter
Perlis,P.001 Padang Besar,60192,3566,16420,11454,2191,0.05924375332270069,0.27279372674109514,0.19029106858054226,0.036400186071238703
Perlis,P.002 Kangar,74859,4682,20782,14877,1016,0.06254424985639669,0.2776152500033396,0.1987336192041037,0.013572182369521367
Perlis,P.003 Arau,60876,3640,16001,12042,459,0.05979367895393915,0.26284578487417043,0.19781194559432289,0.007539917208752218
Kedah,P.004 Langkawi,66777,5340,22657,8348,1126,0.07996765353340222,0.3392934693082948,0.1250131033140153,0.016862093235694924
Kedah,P.005 Jerlun,67601,3829,16938,13825,35,0.05664117394713096,0.25055842369195724,0.20450880904128638,0.000517743820357687
Kedah,P.006 Kubang Pasu,108217,8025,34497,17963,2567,0.07415655580916122,0.3187761627101102,0.16599055601245646,0.02372085716661892
Kedah,P.007 Padang Terap,59806,3759,17042,9976,206,0.06285322542888673,0.28495468682072034,0.16680600608634585,0.003444470454469451
Kedah,P.008 Pokok Sena,114838,6557,31039,22206,2293,0.05709782476183842,0.27028509726745503,0.193368048903673,0.019967258224629476
Kedah,P.009 Alor Setar,105994,5429,25863,24439,703,0.051219880370587015,0.2440043776062796,0.23056965488612563,0.006632450893446799
Kedah,P.010 Kuala Kedah,132500,8031,36476,24990,77,0.06061132075471698,0.27529056603773583,0.18860377358490565,0.0005811320754716982
Kedah,P.011 Pendang,94547,5778,25453,17592,173,0.06111246258474621,0.2692100225284779,0.18606618930267485,0.0018297777824785556
Kedah,P.012 Jerai,105001,6694,29158,19556,273,0.06375177379263054,0.27769259340387237,0.18624584527766402,0.0025999752383310637
Kedah,P.013 Sik,63126,3943,17325,10693,164,0.06246237683363432,0.2744510978043912,0.16939137597820234,0.0025979786458828376
Kedah,P.014 Merbok,132444,10151,43343,19784,5056,0.07664371356950862,0.327255292802996,0.14937634018906104,0.03817462474706291
Kedah,P.015 Sungai Petani,168847,12550,53676,28754,143,0.0743276457384496,0.3178972679407985,0.17029618530385496,0.0008469205849082305
Kedah,P.016 Baling,132099,8286,37441,22561,295,0.06272568301046942,0.28343136586953727,0.17078857523524024,0.002233173604645001
Kedah,P.017 Padang Serai,133867,12053,47689,19023,76,0.09003712640157768,0.3562416428245946,0.14210372982138988,0.0005677276700008217
Kedah,P.018 Kulim-Bandar Baharu,90141,5582,25381,16318,1487,0.06192520606605208,0.2815699848015886,0.18102750135898205,0.01649637789685049
