state,Total_Undi18#,Total_Youth#,Total_Senior_Citizen#,Total_Early_Voter#,Total_Voters#,Ratio_Undi_18,Ratio_Youth,Ratio_Senior_Citizen,Ratio_Early_Voter
Perlis,11888,53203,38373,3666,195927,0.06067565981207287,0.27154501421447785,0.19585355770261373,0.01871105054433539
Kedah,106007,463978,276028,14674,1575805,0.06727164845904157,0.29443871545019845,0.17516634355139118,0.009312065896478308
Kelantan,98429,433389,212570,11061,1404763,0.07006804706559043,0.3085139628535205,0.15132089897014656,0.007873926064396628
Terengganu,65122,285388,124643,7025,922856,0.0705657220628137,0.30924434581343135,0.13506224156314744,0.007612238529087962
Pulau Pinang,68082,299003,273452,11065,1226626,0.05550347049548925,0.24376052684355295,0.22293021670827132,0.009020679489917872
Perak,111800,516136,432654,31291,2036872,0.05488808329634852,0.25339638425978656,0.21241099097046845,0.015362280987710569
Pahang,74779,325680,188715,21162,1136944,0.06577192896044132,0.286452103181863,0.16598442843271086,0.018613053941091206
Selangor,273703,1118720,598549,24247,3677848,0.07441933434986982,0.30417787793296513,0.16274435485098895,0.006592714000143563
W.P. Kuala Lumpur,55835,256452,266742,39437,1151407,0.048492843972635216,0.22272923475365358,0.23166612674753584,0.03425113795556219
W.P. Putrajaya,3571,12578,3813,1386,42881,0.08327697581679532,0.2933233833166204,0.08892050092115389,0.03232200741587183
Negeri Sembilan,53226,232379,166538,20224,850865,0.0625551644502947,0.2731091301205244,0.19572787692524665,0.023768752974913765
Melaka,41347,183080,126229,12601,657324,0.06290200875063134,0.27852322446769023,0.19203467392031937,0.019170150488952174
Johor,169919,736264,473538,22689,2616575,0.06493947240189943,0.28138463449356504,0.18097627623897652,0.008671259184238939
W.P. Labuan,3225,13707,7133,1444,44484,0.07249797680064743,0.30813326139735636,0.16034978868806762,0.03246110961244492
Sabah,127582,533342,261747,21432,1689387,0.07551970034101127,0.3157014940922358,0.15493608036524492,0.012686258388397684
Sarawak,129034,544679,360843,22127,1943074,0.06640714661407646,0.28031819683655895,0.18570728649552204,0.011387625998803956
