state,parlimen,dun,total,male_18_20,female_18_20,total_18_20,ratio_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14,votertype_early,Total#
Perlis,P.001 Padang Besar,N.01 Titi Tinggi,13403,378,417,795,0.05931507871372081,1507,1296,1778,1554,1189,1057,860,871,743,758,363,381,96,108,30,17,13019,0,383,1,10111.0,383,60192
Perlis,P.002 Kangar,N.06 Bintong,16366,573,580,1153,0.07045093486496395,1919,1824,1805,1890,1246,1302,1039,1112,787,970,423,545,122,191,14,24,16365,0,0,1,12136.0,0,74859
Perlis,P.003 Arau,N.11 Pauh,14797,478,464,942,0.06366155301750355,1645,1561,1796,1627,1162,1155,1035,1109,756,814,357,477,129,185,20,27,14424,37,336,0,11200.0,373,60876
Kedah,P.004 Langkawi,N.01 Ayer Hangat,32521,1305,1255,2560,0.07871836659389318,4347,4181,3802,3591,2827,2913,2144,2041,1226,1361,520,605,153,194,24,32,32236,0,285,0,21297.0,285,66777
Kedah,P.005 Jerlun,N.03 Kota Siputeh,29785,895,862,1757,0.05898942420681551,2988,2964,3281,3198,2652,2501,2280,2248,1573,1792,786,1042,221,404,35,63,29767,0,18,0,23544.0,18,67601
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,45801,1620,1537,3157,0.06892862601253248,5503,4960,5319,5087,4000,3639,3026,3111,2175,2525,1087,1394,261,458,41,58,44613,889,297,2,32614.0,1186,108217
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,31329,1000,1021,2021,0.06450892144658303,3564,3526,3695,3701,2595,2576,2173,2193,1533,1755,616,788,190,316,36,51,31143,0,185,1,24094.0,185,59806
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,40563,1375,1224,2599,0.06407317013041441,4573,4465,4582,4557,3590,3365,2866,2827,1845,2196,930,1255,290,507,40,76,40547,0,16,0,30002.0,16,114838
Kedah,P.009 Alor Setar,N.12 Suka Menanti,41917,1118,1060,2178,0.05195982536918196,4313,4295,4885,4909,3711,3660,2628,2964,2088,2753,1098,1520,302,485,63,65,41907,0,0,10,31305.0,0,105994
Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,36325,1067,1051,2118,0.058306951135581556,3722,3721,3888,3946,3111,3139,2572,2805,1982,2362,887,1212,291,446,54,69,36291,0,32,2,28223.0,32,132500
Kedah,P.011 Pendang,N.18 Tokai,45265,1326,1358,2684,0.059295261239368166,4499,4558,4868,4950,4060,4055,3320,3453,2244,2744,1165,1571,336,627,50,81,45114,0,149,2,36366.0,149,94547
Kedah,P.012 Jerai,N.20 Sungai Limau,34312,966,868,1834,0.05345068780601539,3225,3241,3408,3574,3247,3263,2793,2866,1787,2106,920,1156,260,524,39,69,34311,0,0,1,28800.0,0,105001
Kedah,P.013 Sik,N.23 Belantek,28147,906,861,1767,0.06277756066365865,3059,2959,3202,3215,2539,2472,2049,2107,1354,1480,565,766,195,323,41,54,27987,0,160,0,22744.0,160,63126
Kedah,P.014 Merbok,N.25 Bukit Selambau,78353,3397,3291,6688,0.08535729327530535,10455,10237,8299,8576,5861,6281,4981,5303,3702,4209,1384,1507,291,430,80,69,78042,0,298,13,48367.0,298,132444
Kedah,P.015 Sungai Petani,N.27 Pantai Merdeka,51218,1906,1922,3828,0.07473934944745987,6661,6423,5477,5258,4021,4081,3662,3967,2257,2611,923,1251,228,455,39,76,51186,0,29,3,36810.0,29,168847
Kedah,P.016 Baling,N.30 Bayu,47471,1446,1354,2800,0.058983379326325545,5040,5107,5248,5429,4268,4087,3532,3498,2398,2529,1023,1427,311,617,60,97,47226,0,243,2,38985.0,243,132099
Kedah,P.017 Padang Serai,N.33 Merbau Pulas,52601,2501,2443,4944,0.09399060854356381,7026,6767,5018,5125,4163,4637,3646,3815,2048,2555,878,1201,252,386,63,77,52546,0,52,3,34498.0,52,133867
